Y,U,czas
0.99109,0.00900264,0.0553,
0.991172,0.00891974,0.0554,
0.991253,0.00883761,0.0555,
0.991334,0.00875623,0.0556,
0.991413,0.00867561,0.0557,
0.991492,0.00859572,0.0558,
0.991571,0.00851657,0.0559,
0.991648,0.00843815,0.056,
0.991725,0.00836046,0.0561,
0.991802,0.00828347,0.0562,
0.991877,0.0082072,0.0563,
0.991952,0.00813163,0.0564,
0.992026,0.00805675,0.0565,
0.992099,0.00798257,0.0566,
0.992172,0.00790906,0.0567,
0.992244,0.00783624,0.0568,
0.992316,0.00776408,0.0569,
0.992386,0.00769259,0.057,
0.992456,0.00762176,0.0571,
0.992526,0.00755158,0.0572,
0.992595,0.00748204,0.0573,
0.992663,0.00741315,0.0574,
0.99273,0.00734489,0.0575,
0.992797,0.00727726,0.0576,
0.992864,0.00721025,0.0577,
0.992929,0.00714386,0.0578,
0.992995,0.00707808,0.0579,
0.993059,0.00701291,0.058,
0.993123,0.00694833,0.0581,
0.993186,0.00688435,0.0582,
0.993249,0.00682096,0.0583,
0.993311,0.00675815,0.0584,
0.993373,0.00669593,0.0585,
0.993434,0.00663427,0.0586,
0.993494,0.00657318,0.0587,
0.993554,0.00651266,0.0588,
0.993614,0.00645269,0.0589,
0.993672,0.00639327,0.059,
0.993731,0.0063344,0.0591,
0.993788,0.00627608,0.0592,
0.993846,0.00621829,0.0593,
0.993902,0.00616103,0.0594,
0.993958,0.0061043,0.0595,
0.994014,0.00604809,0.0596,
0.994069,0.0059924,0.0597,
0.994124,0.00593722,0.0598,
0.994178,0.00588255,0.0599,
0.994231,0.00582839,0.06,
0.994285,0.00577472,0.0601,
0.994337,0.00572155,0.0602,
0.994389,0.00566886,0.0603,
0.994441,0.00561667,0.0604,
0.994492,0.00556495,0.0605,
0.994543,0.00551371,0.0606,
0.994593,0.00546294,0.0607,
0.994643,0.00541263,0.0608,
0.994692,0.0053628,0.0609,
0.994741,0.00531342,0.061,
0.99479,0.00526449,0.0611,
0.994837,0.00521601,0.0612,
0.994885,0.00516799,0.0613,
0.994932,0.0051204,0.0614,
0.994979,0.00507325,0.0615,
0.995025,0.00502654,0.0616,
0.995071,0.00498025,0.0617,
0.995116,0.0049344,0.0618,
0.995161,0.00488896,0.0619,
0.995206,0.00484394,0.062,
0.99525,0.00479934,0.0621,
0.995294,0.00475515,0.0622,
0.995337,0.00471136,0.0623,
0.99538,0.00466798,0.0624,
0.995422,0.004625,0.0625,
0.995465,0.00458241,0.0626,
0.995506,0.00454022,0.0627,
0.995548,0.00449841,0.0628,
0.995589,0.00445699,0.0629,
0.995629,0.00441595,0.063,
0.99567,0.00437529,0.0631,
0.995709,0.004335,0.0632,
0.995749,0.00429509,0.0633,
0.995788,0.00425554,0.0634,
0.995827,0.00421635,0.0635,
0.995865,0.00417753,0.0636,
0.995903,0.00413906,0.0637,
0.995941,0.00410095,0.0638,
0.995978,0.00406319,0.0639,
0.996016,0.00402577,0.064,
0.996052,0.00398871,0.0641,
0.996089,0.00395198,0.0642,
0.996125,0.00391559,0.0643,
0.99616,0.00387953,0.0644,
0.996196,0.00384381,0.0645,
0.996231,0.00380842,0.0646,
0.996265,0.00377335,0.0647,
0.9963,0.00373861,0.0648,
0.996334,0.00370418,0.0649,
0.996368,0.00367007,0.065,
0.996401,0.00363628,0.0651,
0.996434,0.0036028,0.0652,
0.996467,0.00356962,0.0653,
0.9965,0.00353675,0.0654,
0.996532,0.00350419,0.0655,
0.996564,0.00347192,0.0656,
0.996595,0.00343995,0.0657,
0.996627,0.00340828,0.0658,
0.996658,0.00337689,0.0659,
0.996689,0.0033458,0.066,
0.996719,0.00331499,0.0661,
0.996749,0.00328447,0.0662,
0.996779,0.00325422,0.0663,
0.996809,0.00322426,0.0664,
0.996838,0.00319457,0.0665,
0.996867,0.00316516,0.0666,
0.996896,0.00313601,0.0667,
0.996925,0.00310714,0.0668,
0.996953,0.00307852,0.0669,
0.996981,0.00305018,0.067,
0.997009,0.00302209,0.0671,
0.997036,0.00299426,0.0672,
0.997064,0.00296669,0.0673,
0.997091,0.00293938,0.0674,
0.997118,0.00291231,0.0675,
0.997144,0.00288549,0.0676,
0.99717,0.00285893,0.0677,
0.997196,0.0028326,0.0678,
0.997222,0.00280652,0.0679,
0.997248,0.00278068,0.068,
0.997273,0.00275507,0.0681,
0.997298,0.0027297,0.0682,
0.997323,0.00270457,0.0683,
0.997348,0.00267966,0.0684,
0.997372,0.00265499,0.0685,
0.997396,0.00263054,0.0686,
0.99742,0.00260632,0.0687,
0.997444,0.00258232,0.0688,
0.997468,0.00255855,0.0689,
0.997491,0.00253499,0.069,
0.997514,0.00251164,0.0691,
0.997537,0.00248852,0.0692,
0.99756,0.0024656,0.0693,
0.997582,0.0024429,0.0694,
0.997604,0.00242041,0.0695,
0.997626,0.00239812,0.0696,
0.997648,0.00237604,0.0697,
0.99767,0.00235416,0.0698,
0.997691,0.00233248,0.0699,
0.997713,0.002311,0.07,
0.997734,0.00228973,0.0701,
0.997755,0.00226864,0.0702,
0.997775,0.00224775,0.0703,
0.997796,0.00222706,0.0704,
0.997816,0.00220655,0.0705,
0.997836,0.00218623,0.0706,
0.997856,0.0021661,0.0707,
0.997876,0.00214615,0.0708,
0.997895,0.00212639,0.0709,
0.997915,0.00210681,0.071,
0.997934,0.00208741,0.0711,
0.997953,0.00206819,0.0712,
0.997972,0.00204915,0.0713,
0.997991,0.00203028,0.0714,
0.998009,0.00201159,0.0715,
0.998027,0.00199306,0.0716,
0.998046,0.00197471,0.0717,
0.998064,0.00195653,0.0718,
0.998081,0.00193851,0.0719,
0.998099,0.00192066,0.072,
0.998117,0.00190298,0.0721,
0.998134,0.00188546,0.0722,
0.998151,0.00186809,0.0723,
0.998168,0.00185089,0.0724,
0.998185,0.00183385,0.0725,
0.998202,0.00181696,0.0726,
0.998218,0.00180023,0.0727,
0.998235,0.00178366,0.0728,
0.998251,0.00176723,0.0729,
0.998267,0.00175096,0.073,
0.998283,0.00173484,0.0731,
0.998299,0.00171886,0.0732,
0.998314,0.00170304,0.0733,
0.99833,0.00168736,0.0734,
0.998345,0.00167182,0.0735,
0.998361,0.00165642,0.0736,
0.998376,0.00164117,0.0737,
0.998391,0.00162606,0.0738,
0.998405,0.00161109,0.0739,
0.99842,0.00159625,0.074,
0.998435,0.00158155,0.0741,
0.998449,0.00156699,0.0742,
0.998463,0.00155256,0.0743,
0.998478,0.00153827,0.0744,
0.998492,0.0015241,0.0745,
0.998505,0.00151007,0.0746,
0.998519,0.00149616,0.0747,
0.998533,0.00148239,0.0748,
0.998546,0.00146874,0.0749,
0.99856,0.00145521,0.075,
0.998573,0.00144181,0.0751,
0.998586,0.00142854,0.0752,
0.998599,0.00141538,0.0753,
0.998612,0.00140235,0.0754,
0.998625,0.00138944,0.0755,
0.998637,0.00137665,0.0756,
0.99865,0.00136397,0.0757,
0.998662,0.00135141,0.0758,
0.998675,0.00133897,0.0759,
0.998687,0.00132664,0.076,
0.998699,0.00131442,0.0761,
0.998711,0.00130232,0.0762,
0.998723,0.00129033,0.0763,
0.998735,0.00127845,0.0764,
0.998746,0.00126667,0.0765,
0.998758,0.00125501,0.0766,
0.998769,0.00124345,0.0767,
0.998781,0.001232,0.0768,
0.998792,0.00122066,0.0769,
0.998803,0.00120942,0.077,
0.998814,0.00119828,0.0771,
0.998825,0.00118725,0.0772,
0.998836,0.00117632,0.0773,
0.998846,0.00116549,0.0774,
0.998857,0.00115476,0.0775,
0.998868,0.00114412,0.0776,
0.998878,0.00113359,0.0777,
0.998888,0.00112315,0.0778,
0.998899,0.00111281,0.0779,
0.998909,0.00110256,0.078,
0.998919,0.00109241,0.0781,
0.998929,0.00108235,0.0782,
0.998939,0.00107238,0.0783,
0.998948,0.00106251,0.0784,
0.998958,0.00105273,0.0785,
0.998968,0.00104303,0.0786,
0.998977,0.00103343,0.0787,
0.998987,0.00102391,0.0788,
0.998996,0.00101448,0.0789,
0.999005,0.00100514,0.079,
0.999014,0.000995888,0.0791,
0.999023,0.000986718,0.0792,
0.999032,0.000977632,0.0793,
0.999041,0.00096863,0.0794,
0.99905,0.000959711,0.0795,
0.999059,0.000950874,0.0796,
0.999068,0.000942119,0.0797,
0.999076,0.000933444,0.0798,
0.999085,0.000924849,0.0799,
0.999093,0.000916333,0.08,
0.999101,0.000907895,0.0801,
0.99911,0.000899535,0.0802,
0.999118,0.000891252,0.0803,
0.999126,0.000883046,0.0804,
0.999134,0.000874915,0.0805,
0.999142,0.000866859,0.0806,
0.99915,0.000858877,0.0807,
0.999158,0.000850968,0.0808,
0.999166,0.000843133,0.0809,
0.999173,0.000835369,0.081,
0.999181,0.000827677,0.0811,
0.999188,0.000820056,0.0812,
0.999196,0.000812505,0.0813,
0.999203,0.000805023,0.0814,
0.999211,0.000797611,0.0815,
0.999218,0.000790266,0.0816,
0.999225,0.00078299,0.0817,
0.999232,0.00077578,0.0818,
0.999239,0.000768637,0.0819,
0.999246,0.000761559,0.082,
0.999253,0.000754547,0.0821,
0.99926,0.000747599,0.0822,
0.999267,0.000740715,0.0823,
0.999274,0.000733895,0.0824,
0.99928,0.000727137,0.0825,
0.999287,0.000720442,0.0826,
0.999294,0.000713808,0.0827,
0.9993,0.000707235,0.0828,
0.999306,0.000700723,0.0829,
0.999313,0.000694271,0.083,
0.999319,0.000687878,0.0831,
0.999325,0.000681544,0.0832,
0.999332,0.000675268,0.0833,
0.999338,0.000669051,0.0834,
0.999344,0.00066289,0.0835,
0.99935,0.000656786,0.0836,
0.999356,0.000650738,0.0837,
0.999362,0.000644747,0.0838,
0.999368,0.00063881,0.0839,
