x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-8.840000E+00,+2.733668E+00,+897.286E-03,-892.462E-03,-3.417085E+00
-8.835000E+00,+3.055276E+00,+824.925E-03,-876.382E-03,-3.497487E+00
-8.830000E+00,+3.778895E+00,+651.256E-03,-731.658E-03,-3.618090E+00
-8.825000E+00,+3.618090E+00,+723.618E-03,-804.020E-03,-3.618090E+00
-8.820000E+00,+3.778895E+00,+651.256E-03,-731.658E-03,-3.577889E+00
-8.815000E+00,+3.537688E+00,+752.563E-03,-860.301E-03,-3.618090E+00
-8.810000E+00,+4.341709E+00,+564.422E-03,-659.296E-03,-3.618090E+00
-8.805000E+00,+4.140704E+00,+636.784E-03,-747.739E-03,-3.618090E+00
-8.800000E+00,+2.814070E+00,+940.704E-03,-1.005025E+00,-3.819096E+00
-8.795000E+00,+2.773869E+00,+1.013065E+00,-1.085427E+00,-3.658291E+00
-8.790000E+00,+2.974874E+00,+940.704E-03,-988.945E-03,-3.618090E+00
-8.785000E+00,+3.819096E+00,+752.563E-03,-844.221E-03,-3.618090E+00
-8.780000E+00,+4.180905E+00,+665.729E-03,-795.980E-03,-3.819096E+00
-8.775000E+00,+4.020101E+00,+723.618E-03,-763.819E-03,-3.819096E+00
-8.770000E+00,+4.743719E+00,+492.060E-03,-586.935E-03,-3.819096E+00
-8.765000E+00,+5.266332E+00,+419.699E-03,-578.894E-03,-3.819096E+00
-8.760000E+00,+3.778895E+00,+723.618E-03,-852.261E-03,-3.819096E+00
-8.755000E+00,+2.814070E+00,+1.070955E+00,-1.149749E+00,-3.819096E+00
-8.750000E+00,+3.417085E+00,+868.342E-03,-1.005025E+00,-3.819096E+00
-8.745000E+00,+4.261307E+00,+767.035E-03,-828.141E-03,-3.819096E+00
-8.740000E+00,+4.341709E+00,+723.618E-03,-820.100E-03,-4.020101E+00
-8.735000E+00,+4.502513E+00,+723.618E-03,-763.819E-03,-4.020101E+00
-8.730000E+00,+4.783920E+00,+578.894E-03,-691.457E-03,-4.020101E+00
-8.725000E+00,+5.829146E+00,+578.894E-03,-603.015E-03,-4.020101E+00
-8.720000E+00,+3.899498E+00,+969.648E-03,-1.029146E+00,-4.020101E+00
-8.715000E+00,+3.015075E+00,+1.128844E+00,-1.125628E+00,-4.020101E+00
-8.710000E+00,+3.658291E+00,+940.704E-03,-1.045226E+00,-4.020101E+00
-8.705000E+00,+3.899498E+00,+1.013065E+00,-956.784E-03,-4.020101E+00
-8.700000E+00,+4.221106E+00,+795.980E-03,-924.623E-03,-4.221106E+00
-8.695000E+00,+4.301508E+00,+897.286E-03,-1.005025E+00,-4.060302E+00
-8.690000E+00,+5.507538E+00,+578.894E-03,-683.417E-03,-4.221106E+00
-8.685000E+00,+3.658291E+00,+1.056482E+00,-1.093467E+00,-4.221106E+00
-8.680000E+00,+2.974874E+00,+1.172261E+00,-1.214070E+00,-4.221106E+00
-8.675000E+00,+3.216080E+00,+1.230151E+00,-1.246231E+00,-4.221106E+00
-8.670000E+00,+4.020101E+00,+998.593E-03,-1.037186E+00,-4.261307E+00
-8.665000E+00,+4.462312E+00,+868.342E-03,-924.623E-03,-4.422111E+00
-8.660000E+00,+4.221106E+00,+897.286E-03,-940.704E-03,-4.301508E+00
-8.655000E+00,+6.030151E+00,+521.005E-03,-611.055E-03,-4.381910E+00
-8.650000E+00,+4.623116E+00,+868.342E-03,-924.623E-03,-4.422111E+00
-8.645000E+00,+3.497487E+00,+1.186734E+00,-1.238191E+00,-4.422111E+00
-8.640000E+00,+3.256281E+00,+1.288040E+00,-1.326633E+00,-4.422111E+00
-8.635000E+00,+4.341709E+00,+969.648E-03,-1.021106E+00,-4.422111E+00
-8.630000E+00,+4.422111E+00,+940.704E-03,-1.005025E+00,-4.422111E+00
-8.625000E+00,+4.824121E+00,+868.342E-03,-1.005025E+00,-4.422111E+00
-8.620000E+00,+5.668342E+00,+694.673E-03,-747.739E-03,-4.582915E+00
-8.615000E+00,+4.663317E+00,+940.704E-03,-972.864E-03,-4.502513E+00
-8.610000E+00,+3.417085E+00,+1.259096E+00,-1.326633E+00,-4.502513E+00
-8.605000E+00,+3.979900E+00,+1.157789E+00,-1.189950E+00,-4.623116E+00
-8.600000E+00,+3.819096E+00,+1.157789E+00,-1.206030E+00,-4.623116E+00
-8.595000E+00,+4.060302E+00,+1.085427E+00,-1.165829E+00,-4.623116E+00
-8.590000E+00,+4.582915E+00,+1.070955E+00,-1.101508E+00,-4.623116E+00
-8.585000E+00,+5.226131E+00,+824.925E-03,-908.543E-03,-4.623116E+00
-8.580000E+00,+3.658291E+00,+1.288040E+00,-1.350754E+00,-4.663317E+00
-8.575000E+00,+3.417085E+00,+1.302513E+00,-1.366834E+00,-4.623116E+00
-8.570000E+00,+3.698492E+00,+1.215678E+00,-1.310553E+00,-4.824121E+00
-8.565000E+00,+4.703518E+00,+1.056482E+00,-1.109548E+00,-4.824121E+00
-8.560000E+00,+4.824121E+00,+1.056482E+00,-1.109548E+00,-4.824121E+00
-8.555000E+00,+6.070352E+00,+824.925E-03,-900.503E-03,-4.824121E+00
-8.550000E+00,+5.025126E+00,+868.342E-03,-844.221E-03,-4.623116E+00
-8.545000E+00,+3.979900E+00,+1.259096E+00,-1.350754E+00,-4.824121E+00
-8.540000E+00,+3.457286E+00,+1.389347E+00,-1.390955E+00,-4.944724E+00
-8.535000E+00,+4.743719E+00,+1.128844E+00,-1.181910E+00,-4.824121E+00
-8.530000E+00,+4.824121E+00,+1.085427E+00,-1.189950E+00,-5.025126E+00
-8.525000E+00,+5.025126E+00,+1.085427E+00,-1.085427E+00,-5.025126E+00
-8.520000E+00,+6.552764E+00,+810.452E-03,-755.779E-03,-5.025126E+00
-8.515000E+00,+4.422111E+00,+1.215678E+00,-1.310553E+00,-5.105528E+00
-8.510000E+00,+3.618090E+00,+1.403819E+00,-1.463317E+00,-5.025126E+00
-8.505000E+00,+4.783920E+00,+1.230151E+00,-1.286432E+00,-5.025126E+00
-8.500000E+00,+4.824121E+00,+1.230151E+00,-1.246231E+00,-5.025126E+00
-8.495000E+00,+4.422111E+00,+1.215678E+00,-1.318593E+00,-5.025126E+00
-8.490000E+00,+6.271357E+00,+839.397E-03,-908.543E-03,-5.226131E+00
-8.485000E+00,+4.100503E+00,+1.345930E+00,-1.398995E+00,-5.226131E+00
-8.480000E+00,+3.618090E+00,+1.461709E+00,-1.535678E+00,-5.065327E+00
-8.475000E+00,+4.221106E+00,+1.374874E+00,-1.407035E+00,-5.226131E+00
-8.470000E+00,+5.025126E+00,+1.215678E+00,-1.310553E+00,-5.386935E+00
-8.465000E+00,+5.065327E+00,+1.186734E+00,-1.262312E+00,-5.226131E+00
-8.460000E+00,+6.231156E+00,+882.814E-03,-916.583E-03,-5.226131E+00
-8.455000E+00,+5.748744E+00,+1.128844E+00,-1.165829E+00,-5.427136E+00
-8.450000E+00,+4.020101E+00,+1.519598E+00,-1.487437E+00,-5.226131E+00
-8.445000E+00,+4.341709E+00,+1.360402E+00,-1.471357E+00,-5.386935E+00
-8.440000E+00,+5.145729E+00,+1.230151E+00,-1.286432E+00,-5.427136E+00
-8.435000E+00,+5.266332E+00,+1.186734E+00,-1.254271E+00,-5.427136E+00
-8.430000E+00,+6.351759E+00,+984.121E-03,-1.037186E+00,-5.427136E+00
-8.425000E+00,+6.432161E+00,+940.704E-03,-1.246231E+00,-5.427136E+00
-8.420000E+00,+4.020101E+00,+1.519598E+00,-1.608040E+00,-5.427136E+00
-8.415000E+00,+5.105528E+00,+1.345930E+00,-1.415075E+00,-5.427136E+00
-8.410000E+00,+4.944724E+00,+1.302513E+00,-1.382915E+00,-5.427136E+00
-8.405000E+00,+4.824121E+00,+1.374874E+00,-1.439196E+00,-5.587940E+00
-8.400000E+00,+6.231156E+00,+1.013065E+00,-1.125628E+00,-5.628141E+00
-8.395000E+00,+5.587940E+00,+1.288040E+00,-1.439196E+00,-5.628141E+00
